frame,status,target_id,center_x,center_y,target_x,target_y
145,detected,1,653.388,788.149,725.5,833
146,detected,1,656.764,789.032,728,833
147,detected,1,659.12,789.917,730,832.5
148,detected,1,661.091,790.18,731.5,832.5
149,detected,1,663.075,790.324,733.5,832.5
150,detected,1,665.291,790.628,738,831
151,detected,1,667.41,790.345,740,830
152,detected,1,669.476,790.415,742,830
153,detected,1,676.758,791.282,756,827.5
154,detected,1,681.67,791.605,758.5,827
155,detected,1,685.14,791.423,760.5,826.5
156,detected,1,688.378,791.899,764.5,826
157,detected,1,693.608,790.595,772.5,820
158,detected,1,698.284,788.527,776,817
159,detected,1,702.341,786.04,780,813.5
160,detected,1,706.53,783.547,784,810.5
161,detected,1,710.19,781.734,787,808
162,detected,1,713.93,779.829,792,806
163,detected,1,720.486,777.881,802.5,802.5
164,detected,1,725.892,776.456,805.5,800.5
165,detected,1,730.592,775.117,810,798.5
166,detected,1,734.977,773.481,814,795.5
167,detected,1,740.68,768.539,822,786.5
168,detected,1,751.399,758.172,838,767.5
169,detected,1,765.394,743.919,856.5,747
170,detected,1,804.367,710.656,873.5,750
171,detected,1,832.777,685.836,891,736.5
172,detected,1,853.577,667.235,902.5,724.5
173,detected,1,869.068,653.404,913,716.5
174,detected,1,881.637,641.747,922.5,706.5
175,detected,1,892.6,630.836,932.5,697
176,lost,1,901.828,590.41,,
177,lost,1,906.18,564.275,,
178,lost,1,908.574,544.576,,
179,detected,1,906.516,530.367,939,588.5
180,detected,1,905.063,521.972,938.5,587
181,detected,1,903.989,517.485,938.5,587
182,detected,1,903.094,515.917,938.5,588
183,detected,1,902.151,515.954,938,590
184,detected,1,901.408,517.55,938.5,593.5
185,detected,1,893.575,527.652,929.5,608.5
186,detected,1,889.041,533.209,929.5,609
187,detected,1,886.773,534.915,931.5,604.5
188,detected,1,885.367,533.828,933.5,598.5
189,detected,1,885.202,527.831,935.5,584.5
190,detected,1,885.05,521.668,936.5,579
191,detected,1,885.252,515.742,937,573
192,detected,1,885.364,509.783,938.5,567
193,detected,1,885.65,504.031,938.5,559
194,detected,1,884.458,494.117,937.5,543
195,detected,1,883.127,483.939,936,531.5
196,detected,1,881.805,476.767,936,527.5
197,detected,1,880.093,471.247,934.5,524
198,detected,1,878.251,467.086,933,520.5
199,detected,1,876.338,463.447,931,516.5
200,detected,1,869.436,457.621,922,503
201,detected,1,865.19,455.091,922,504
202,detected,1,862.701,454.017,921.5,504.5
203,detected,1,862.161,455.134,925.5,504.5
204,detected,1,862.088,455.524,927.5,503.5
205,detected,1,861.902,455.738,927.5,503
206,detected,1,861.496,456.081,926,502
207,detected,1,860.677,456.044,925,501
208,lost,1,854.972,449.274,,
209,detected,1,851.694,444.986,908,480.5
210,detected,1,849.807,442.068,917.5,476
211,detected,1,843.924,429.928,908,446.5
212,detected,1,840.133,422.086,906,443.5
213,detected,1,837.148,416.872,905.5,441
214,detected,1,834.017,411.08,902.5,431.5
215,detected,1,831.535,406.994,900.5,429
216,detected,1,829.494,403.172,898.5,424
217,detected,1,828.431,400.169,899.5,422
218,detected,1,826.662,400.543,898,425.5
219,detected,1,814.664,419.649,873.5,461.5
220,detected,1,806.04,436.007,869,473
221,detected,1,800.847,447.254,868.5,477
222,detected,1,798.666,455.015,869.5,479.5
223,detected,1,796.791,458.608,867,476.5
224,detected,1,795.31,458.559,866,471.5
225,detected,1,794.246,456.253,866,466
226,detected,1,793.235,453.664,865,462
227,detected,1,792.359,450.086,864,456.5
228,detected,1,791.157,445.433,861.5,450.5
229,lost,1,781.245,432.413,,
230,detected,1,775.06,425.027,861.163,413.784
231,detected,1,771.658,420.065,860.953,411.363
232,detected,1,768.887,419.136,858.052,413.369
233,detected,1,765.563,420.425,853.762,417.1
234,detected,1,761.71,423.384,849.127,420.882
235,detected,1,757.115,426.811,843.047,424.439
236,detected,1,752.113,430.721,837.345,428.023
237,detected,1,748.462,437.597,828.5,475.5
238,detected,1,742.179,470.021,820.5,538.5
239,lost,1,770.15,606.128,,
240,detected,1,787.858,692.695,868,768
241,detected,1,798.374,744.48,868,777
242,detected,1,806.981,759.789,907,787.5
243,detected,1,812.448,765.039,909,779.5
244,detected,1,816.152,765.06,911.5,772.5
245,detected,1,818.922,742.826,908.733,779.521
246,detected,1,820.532,730.529,909.203,779.616
247,detected,1,821.868,724.216,911.306,778.403
248,detected,1,823.325,720.969,914,777.5
249,detected,1,825.271,718.958,916.5,776
250,detected,1,827.919,717.609,920.5,774.5
251,detected,1,830.431,717.335,923,776
252,detected,1,833.142,717.576,927,775
253,detected,1,836.228,718.217,929.5,777.5
254,detected,1,840.468,719.244,936.042,776.963
255,detected,1,843.81,720.034,939.5,775.5
256,detected,1,853.796,715.969,960.401,758.134
257,detected,1,859.867,713.153,961.689,756.563
258,detected,1,863.369,711.059,962.258,755.086
259,detected,1,867.096,704.508,969.133,736.658
260,detected,1,869.303,699.779,970.102,732.776
261,detected,1,871.191,696.279,971,733
262,detected,1,873.58,691.428,975.5,725
263,detected,1,875.169,688.486,977.374,719.805
264,detected,1,876.297,686.467,977.5,720.5
265,detected,1,877.367,685.357,978.709,719.341
266,detected,1,878.327,684.971,981,718.5
267,detected,1,871.565,681.677,964.5,710.5
268,detected,1,856.236,678.222,938,708
269,detected,1,832.505,673.622,903.754,701.89
270,detected,1,803.37,667.717,868,691.5
271,detected,1,770.801,659.658,936,672.5
272,lost,1,448.5,595,,
273,lost,1,443.46,594.393,,
274,lost,1,439.428,594.441,,
275,lost,1,462.41,592.218,,
276,detected,1,547.911,634.985,662.861,634.777
277,detected,1,614.577,664.502,705.802,648.027
278,detected,1,743.093,703.201,831.5,714
279,detected,1,822.926,725.611,920.5,753
280,detected,1,874.259,737.261,1037.44,766
281,detected,1,908.428,742.993,1051.44,764
282,detected,1,911.021,712.846,1014,683
283,detected,1,905.904,691.541,1000.5,671.5
284,detected,1,900.84,677.572,995.132,668.17
285,detected,1,770.637,642.665,837.9,599.9
286,detected,1,685.525,622.116,777,580.5
287,detected,1,626.979,609.617,751.5,577.5
288,detected,1,553.639,616.989,663,628
289,detected,1,514.201,622.619,659.184,626.816
290,detected,1,493.53,627.249,667,633
291,detected,1,496.442,635.912,598,651
292,detected,1,500.068,640.902,602.063,650.805
293,detected,1,504.537,643.421,606.746,649.844
294,detected,1,511.946,640.081,617.685,638.57
295,detected,1,516.191,637.435,617.961,638.26
296,detected,1,518.851,635.631,618.5,635.5
297,detected,1,520.579,636.404,618.275,637.545
298,detected,1,521.839,637.213,618,639
299,detected,1,522.812,638.242,618.5,639
300,detected,1,525.146,645.333,623.971,650.757
301,detected,1,526.431,649.458,623.971,650.757
302,detected,1,527.093,651.748,623.226,648.302
303,detected,1,527.378,652.556,623.632,646.842
304,detected,1,527.658,652.756,623.772,645.807
305,detected,1,527.812,652.641,623.632,644.842
306,detected,1,527.896,651.227,624.699,641.075
307,detected,1,528.168,650.675,624.5,639.5
308,detected,1,528.542,650.596,624.517,639.067
309,detected,1,529.198,655.053,623.949,648.684
310,detected,1,529.559,658.404,624,651.5
311,detected,1,529.758,660.697,623.5,652
312,detected,1,530.317,663.308,623.949,653.684
313,detected,1,530.624,665.645,624.5,656.5
314,detected,1,530.478,667.447,624,657
315,detected,1,530.435,669.17,624.5,660.5
316,detected,1,530.24,671.119,622.51,659.163
317,detected,1,530.297,673.344,622.953,663.33
318,detected,1,530.283,679.898,622.27,673.211
319,detected,1,530.156,684.669,622.5,677.5
320,detected,1,530.311,688.643,622.125,678.265
321,detected,1,530.621,691.279,605,668
322,detected,1,531.241,693.628,604.5,669
323,detected,1,531.583,695.821,625.487,683.539
324,detected,1,628.971,752.601,739,750.5
325,detected,1,687.364,783.422,828,786.5
326,detected,1,720.903,800.332,831,786.5
327,detected,1,745.539,785.108,875,771
328,detected,1,758.572,774.484,874.5,764.5
329,detected,1,765.289,767.291,874,762
330,detected,1,776.529,756.769,889,743
331,detected,1,783.191,751.323,890.5,743
332,detected,1,787.605,748.253,891.5,742
333,detected,1,802.135,748.589,917.5,741.5
334,detected,1,810.849,748.549,920.5,740.5
335,detected,1,816.542,748.302,922,739.5
336,detected,1,826.706,740.721,936.5,718.5
337,detected,1,833.813,734.097,939.5,712
338,detected,1,839.072,730.228,941,710
339,detected,1,844.665,724.951,947.5,702
340,detected,1,848.475,721.148,948.5,699
341,detected,1,851.316,718.272,951,697
342,detected,1,853.761,715.9,952.5,695
343,detected,1,855.719,714.095,953.5,692.5
344,detected,1,857.42,712.252,954,690.5
345,detected,1,863.131,705.789,963,672
346,detected,1,866.672,702.059,963,671.5
347,detected,1,868.749,700.103,962,671.5
348,detected,1,872.766,693.757,966,653.5
349,detected,1,875.571,689.816,967.5,651.5
350,detected,1,877.564,687.874,967.5,651
351,detected,1,882.035,677.356,970.5,625.5
352,detected,1,885.473,671.346,972,623
353,detected,1,887.375,667.815,971,622
354,detected,1,889.456,661.148,971,607.5
355,detected,1,890.806,656.973,971,605.5
356,detected,1,891.853,654.06,971,603.5
357,detected,1,892.427,651.989,970.5,602.5
358,detected,1,896.582,639.527,969.5,570.5
359,detected,1,898.973,632.99,968.5,570
360,detected,1,900.335,629.62,967.5,570.5
361,lost,1,835.159,664.441,,
362,lost,1,839.363,698.217,,
363,lost,1,752.124,717.02,,
364,lost,1,644.968,746.711,,
365,lost,1,586.933,760.116,,
366,lost,1,555.913,765.014,,
367,lost,1,565.852,761.408,,
368,lost,1,573.27,759.191,,
369,lost,1,578.86,758.362,,
370,lost,1,593.098,766.074,,
371,lost,1,601.604,771.441,,
372,lost,1,607.063,775.334,,
373,lost,1,611.039,779.942,,
374,lost,1,613.152,784.96,,
375,lost,1,614.884,790.378,,
376,lost,1,616.961,795.833,,
377,lost,1,619.229,800.633,,
378,lost,1,621.256,804.44,,
379,detected,2,635.6,804.017,625.377,911.628
380,detected,2,644.9,803.968,629.627,912.294
381,detected,2,651.02,803.982,633.299,912.342
382,detected,2,657.761,799.265,647.526,903.675
383,detected,2,662.143,796.221,650.792,903.782
384,detected,2,665.229,794.771,653.144,904.288
385,detected,2,667.328,793.974,656.008,904.695
386,detected,2,673.031,793.086,670.589,904.799
387,detected,2,677.067,792.597,673.991,904.685
388,detected,2,680.187,792.328,677.197,904.697
389,detected,2,682.803,792.181,680.019,905.307
390,detected,2,685.003,792.706,683.654,906.042
391,detected,2,687.252,793.288,687.254,907.463
392,detected,2,691.863,793.834,698.359,908.282
393,detected,2,695.75,793.683,702.5,906.5
394,detected,2,699.462,792.701,707.161,905.161
395,detected,2,702.735,791.977,710.986,904.467
396,detected,2,706.904,791.762,719.359,904.266
397,detected,2,710.591,791.216,723.191,904.121
398,detected,2,719.731,781.015,749.789,879.603
399,detected,2,725.106,774.258,752.04,877.429
400,detected,2,728.208,770.092,753.694,875.639
401,detected,2,735.54,768.251,778.645,873.788
402,detected,2,740.747,768.538,783.01,875.831
403,detected,2,743.786,768.971,784.87,875.988
404,detected,2,746.557,769.209,789.705,875.35
405,detected,2,749.158,769.331,793.088,874.863
406,detected,2,751.488,769.849,796.894,874.99
407,detected,2,753.519,770.367,799.916,875.796
408,detected,2,756.289,771.102,804.07,875.944
409,detected,2,759.01,771.722,808.098,875
410,detected,2,762.831,772.297,816.155,875
411,detected,2,768.307,772.388,825.52,873.499
412,detected,2,773.569,772.214,833.17,871.983
413,detected,2,777.863,772.518,836.646,871.147
414,detected,2,781.125,772.685,839.79,871.026
415,detected,2,783.818,772.777,842.707,870.273
416,detected,2,786.15,772.202,845.684,869.038
417,detected,2,791.436,767.603,862.45,853.115
418,detected,2,794.44,764.582,863.732,851.219
419,detected,2,796.717,761.845,865.905,847.257
420,detected,2,797.969,760.34,868.441,845.516
421,detected,2,798.033,760.137,869.196,844.908
422,detected,2,797.865,760.209,869.414,844.515
423,detected,2,797.701,760.115,870.413,843.526
424,detected,2,797.679,760.202,871.071,842.942
425,lost,2,,,,
426,lost,2,,,,
427,lost,2,,,,
428,lost,2,,,,
429,lost,2,,,,
430,lost,2,,,,
431,lost,2,,,,
432,lost,2,,,,
433,lost,2,,,,
434,lost,2,,,,
435,lost,2,,,,
436,lost,2,,,,
437,lost,2,,,,
438,lost,2,,,,
439,lost,2,,,,
440,lost,2,,,,
441,lost,2,,,,
442,lost,2,,,,
443,lost,2,,,,
444,lost,2,,,,
445,lost,2,,,,
446,lost,2,,,,
447,lost,2,,,,
448,lost,2,,,,
449,lost,2,,,,
450,lost,2,,,,
451,lost,2,,,,
452,lost,2,,,,
453,detected,3,806.658,754.19,1008.5,835.5
454,detected,3,812.238,750.981,910.09,795.736
455,detected,3,815.281,749.64,910.5,796
456,detected,3,816.73,749.577,910.5,796
457,detected,3,725.11,685.808,802.5,683.5
458,detected,3,649.461,640.219,746.5,658
459,detected,3,599.876,609.193,728.5,644
460,detected,3,655.466,638.575,723.41,674.487
461,detected,3,702.229,659.816,856,719.5
462,detected,3,741.394,676.302,887.589,728.854
463,detected,3,772.942,690.566,911.872,732.652
464,detected,3,779.526,693.455,887,726.5
465,detected,3,771.864,689.2,861.028,713.206
466,detected,3,754.437,681.383,832.845,696.793
467,detected,3,730.285,671.818,800.097,684.677
468,detected,3,626.562,636.691,697,630
469,detected,3,564.018,616.176,684.5,628
470,detected,3,522.61,604.172,669,624
471,detected,3,507.035,623.669,685.5,670
472,detected,3,500.044,636.418,689.5,673
473,detected,3,497.49,645.259,693,677
474,detected,3,507.784,648.322,616,665
475,detected,3,513.792,649.271,616.433,663.5
476,detected,3,517.415,649.149,617,661.5
477,detected,3,518.353,635.357,615.5,627.5
478,detected,3,519.319,626.421,616,621
479,detected,3,520.147,620.832,618,623.5
480,detected,3,520.246,622.287,617.593,627.058
481,detected,3,519.756,624.858,616.474,631.378
482,detected,3,519.866,627.397,616.961,633.317
483,detected,3,520.106,642.611,618.572,662.286
484,detected,3,520.058,654.036,617.987,669.439
485,detected,3,520.032,662.795,618,674.5
486,detected,3,520.468,669.637,618.572,677.286
487,detected,3,521.607,678.8,618.5,686.5
488,detected,3,522.405,683.031,618.5,685
